date,year,quarter,month,month_name,week,weekday,weekday_name,is_weekend
2016-01-01,2016,1,1,January,53,4,Friday,False
2016-01-02,2016,1,1,January,53,5,Saturday,True
2016-01-03,2016,1,1,January,53,6,Sunday,True
2016-01-04,2016,1,1,January,1,0,Monday,False
2016-01-05,2016,1,1,January,1,1,Tuesday,False
2016-01-06,2016,1,1,January,1,2,Wednesday,False
2016-01-07,2016,1,1,January,1,3,Thursday,False
2016-01-08,2016,1,1,January,1,4,Friday,False
2016-01-09,2016,1,1,January,1,5,Saturday,True
2016-01-10,2016,1,1,January,1,6,Sunday,True
2016-01-11,2016,1,1,January,2,0,Monday,False
2016-01-12,2016,1,1,January,2,1,Tuesday,False
2016-01-13,2016,1,1,January,2,2,Wednesday,False
2016-01-14,2016,1,1,January,2,3,Thursday,False
2016-01-15,2016,1,1,January,2,4,Friday,False
2016-01-16,2016,1,1,January,2,5,Saturday,True
2016-01-17,2016,1,1,January,2,6,Sunday,True
2016-01-18,2016,1,1,January,3,0,Monday,False
2016-01-19,2016,1,1,January,3,1,Tuesday,False
2016-01-20,2016,1,1,January,3,2,Wednesday,False
2016-01-21,2016,1,1,January,3,3,Thursday,False
2016-01-22,2016,1,1,January,3,4,Friday,False
2016-01-23,2016,1,1,January,3,5,Saturday,True
2016-01-24,2016,1,1,January,3,6,Sunday,True
2016-01-25,2016,1,1,January,4,0,Monday,False
2016-01-26,2016,1,1,January,4,1,Tuesday,False
2016-01-27,2016,1,1,January,4,2,Wednesday,False
2016-01-28,2016,1,1,January,4,3,Thursday,False
2016-01-29,2016,1,1,January,4,4,Friday,False
2016-01-30,2016,1,1,January,4,5,Saturday,True
2016-01-31,2016,1,1,January,4,6,Sunday,True
2016-02-01,2016,1,2,February,5,0,Monday,False
2016-02-02,2016,1,2,February,5,1,Tuesday,False
2016-02-03,2016,1,2,February,5,2,Wednesday,False
2016-02-04,2016,1,2,February,5,3,Thursday,False
2016-02-05,2016,1,2,February,5,4,Friday,False
2016-02-06,2016,1,2,February,5,5,Saturday,True
2016-02-07,2016,1,2,February,5,6,Sunday,True
2016-02-08,2016,1,2,February,6,0,Monday,False
2016-02-09,2016,1,2,February,6,1,Tuesday,False
2016-02-10,2016,1,2,February,6,2,Wednesday,False
2016-02-11,2016,1,2,February,6,3,Thursday,False
2016-02-12,2016,1,2,February,6,4,Friday,False
2016-02-13,2016,1,2,February,6,5,Saturday,True
2016-02-14,2016,1,2,February,6,6,Sunday,True
2016-02-15,2016,1,2,February,7,0,Monday,False
2016-02-16,2016,1,2,February,7,1,Tuesday,False
2016-02-17,2016,1,2,February,7,2,Wednesday,False
2016-02-18,2016,1,2,February,7,3,Thursday,False
2016-02-19,2016,1,2,February,7,4,Friday,False
2016-02-20,2016,1,2,February,7,5,Saturday,True
2016-02-21,2016,1,2,February,7,6,Sunday,True
2016-02-22,2016,1,2,February,8,0,Monday,False
2016-02-23,2016,1,2,February,8,1,Tuesday,False
2016-02-24,2016,1,2,February,8,2,Wednesday,False
2016-02-25,2016,1,2,February,8,3,Thursday,False
2016-02-26,2016,1,2,February,8,4,Friday,False
2016-02-27,2016,1,2,February,8,5,Saturday,True
2016-02-28,2016,1,2,February,8,6,Sunday,True
2016-02-29,2016,1,2,February,9,0,Monday,False
2016-03-01,2016,1,3,March,9,1,Tuesday,False
2016-03-02,2016,1,3,March,9,2,Wednesday,False
2016-03-03,2016,1,3,March,9,3,Thursday,False
